img,xCogOrig,yCogOrig,xCogMatch,yCogMatch
spoon2.jpg,-12.3796717148,1.1473794673,-13.0232256478,-1.70673356083
chisel.jpg,25.8224210823,-4.22084478436,25.2488043898,-2.77960981065
knife.jpg,-1.63181947052,-8.65937194203,-1.28463785136,-3.04475262507
hammer.jpg,-49.0924872956,6.32348517892,-49.0555481168,-0.585834640399
chisel2.jpg,-3.84729150124,-2.82806051189,-3.24430393552,-2.98335480166
fork.jpg,-31.1221883437,-1.36845190245,-30.3051923001,-3.38375219615
washingbrush.jpg,-34.2803903884,-12.2146107655,-34.656325292,-0.928211095774
spoon.jpg,-14.3426070569,-8.68156179986,-14.5032260676,-3.40851260342
mallet.jpg,-38.1359159379,-0.285553295396,-37.6454623251,1.14875580397
wrench.jpg,-22.3837053908,1.06350271682,-22.3027106995,-4.63732369578
screwdriver.jpg,46.3474682287,-7.01180999255,46.4047095766,-6.97856639531
paintbrush.jpg,-30.6897921115,-0.506226037477,-30.6174621439,-0.159901518451
sharpeningsteel.jpg,28.4188527416,-9.77706688053,27.4956219826,-8.19154138261
peeler.jpg,-0.384262651214,-4.67705954554,0.241738381174,-6.00173867515
