object,xCogNorm,xCogScaled,wBoxScaled
chisel,0.0489061005347,8.6074736941,176.0
chisel2,-0.00728653693417,-1.28243050041,176.0
fork,-0.0553155007223,-10.3439986351,187.0
hammer,-0.0991767420113,-16.3641624319,165.0
knife,-0.00373140169136,-0.65672669768,176.0
mallet,-0.0784689628352,-12.7119719793,162.0
paintbrush,-0.0581246062718,-10.2299307038,176.0
peeler,-0.00088949687781,-0.128087550405,144.0
screwdriver,0.0908963358127,15.4523770882,170.0
sharpeningsteel,0.0523367453805,9.47295091387,181.0
spoon,-0.0261195692951,-4.8060007503,184.0
spoon2,-0.0234463479447,-4.12655723827,176.0
washingbrush,-0.0648794636593,-11.418785604,176.0
wrench,-0.042393381422,-7.46123513027,176.0
