-,-,[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[stim_type],[MEAN],[95ci]
-,-,[non-object],[non-object],[non-object],[non-object],[non-object],[non-object],[object],[object],[object],[object],[object],[object],-,-
-,-,[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],[realAngle],-,-
-,-,[-20.0],[0.0],[20.0],[160.0],[180.0],[200.0],[-20.0],[0.0],[20.0],[160.0],[180.0],[200.0],-,-
[file],[004C11.asc],0.0244482974385,0.0187646482684,-0.0213102862111,-0.0204812065477,-0.0114429971663,-0.0179542191278,-0.012893986674,-0.0301788266448,0.0108513302141,-0.00615045839199,0.00040785857907,-0.0294447465035,-0.00794871606393,0.0181366177495
[file],[004C12.asc],0.00667466341452,0.0143790081871,0.0196634114142,0.00620058586155,-0.0204363834631,-0.00422390462956,0.0190150055246,-0.0456963993281,-0.0238685010676,-0.0178465572736,-0.00245383443783,-0.0467916869692,-0.00794871606393,0.0231342439715
[file],[004C13.asc],-0.000437107276964,-0.0190350736169,0.00242498654023,0.0256743051179,0.025352051155,-0.0365700989954,-0.02432358059,-0.0206418739724,0.00689459154235,0.0178045633413,-0.00150568380426,-0.0710216722083,-0.00794871606393,0.0280876802434
[file],[004C15.asc],-0.0170534802338,-0.0147260198262,0.00532283366282,0.0363262827464,-0.0230982820443,0.023214824243,-0.0383023274348,0.00286214409791,-0.00768577559366,0.0490095779676,-0.0727741963149,-0.0384801740373,-0.00794871606393,0.0342224797938
[file],[004C16.asc],-0.00991823179916,0.00032095983746,0.00943765254116,0.0110152542056,-0.0158272111627,0.0189584020967,-0.0205486842032,0.0176676202921,-0.0221067958601,-0.0231646350628,-0.0293855694749,-0.0318333541775,-0.00794871606393,0.0185795442943
[file],[004C18.asc],-0.00420166199437,-0.00519811531561,0.00244258132268,0.02740059017,0.00046835624416,0.0272666737671,-0.0132184953917,-0.000173511740751,-0.0193482994367,-0.0260280316621,-0.0248100686862,-0.0599846100438,-0.00794871606393,0.0237930576639
[file],[004C19.asc],-0.0236274764893,0.00657417824579,-0.00471133535286,0.000989725001602,-0.0112818964312,0.0213703893216,-0.0474043469235,-0.00448327769797,0.00124423023016,0.0174655329262,-0.0312239679147,-0.0202963476831,-0.00794871606393,0.0200254068631
[file],[004C2.asc],-0.0389492344143,0.00907963579829,-0.0440803518028,-0.0547731032363,-0.022351745336,0.00502993627702,-0.00658004000238,0.0253743375413,0.0520278319563,0.00773461326876,-0.0408934559638,0.0129969831466,-0.00794871606393,0.0324799776349
[file],[004C22.asc],0.00209707102175,0.00870124361724,0.00678456566067,-0.0359818737691,-0.00968621333848,0.00626110457836,-0.0273976985559,-0.00331500744141,0.0255405229614,-0.0387961499303,0.00263267809642,-0.0322248356679,-0.00794871606393,0.0208023770144
[file],[004C4.asc],-0.0108006089046,-0.0125596342666,0.0456861490291,0.010558003467,-0.0369418365889,-0.00268529620457,-0.00442031182121,-0.0353814453418,0.01699268385,-0.0810798651486,0.00157152387432,0.0136760452886,-0.00794871606393,0.0322072886266
[file],[004c1.asc],0.00212646030825,-0.00434215773551,0.00577502338452,0.00615953400019,0.00622456622144,0.0197947780833,-0.01512694164,-0.00530467793699,-0.0361607481721,-0.0305566637664,-0.0521324245354,0.00815865902151,-0.00794871606393,0.0214257430675
[file],[004c10.asc],0.00111319530569,0.0184272796691,0.0153963137559,0.0184852518704,0.0141573864383,-0.0269515515709,-0.00993297159405,-0.02252308634,0.00200224923084,-0.0101265634277,-0.0511217041561,-0.0443103919487,-0.00794871606393,0.0240785393587
[file],[004c14.asc],0.00646298612659,0.0128306211723,0.00150388136266,0.000125045785311,-0.0138730115897,-0.00986922249289,-0.00430802246862,-0.0096872226956,-0.00309410549236,-0.0361051490638,-0.000187942528677,-0.0391824508824,-0.00794871606393,0.0156704866831
[file],[004c5.asc],0.00269334180737,0.0217872725266,-0.0106965408341,-0.0247289420595,-0.00924791765895,-0.0158420402299,-0.00936132945642,0.00388100067842,-0.0288052129864,0.00179104367822,0.0247224005219,-0.0515776687543,-0.00794871606393,0.0213057458322
[file],[004c6.asc],-0.0193123217701,-0.0209704273478,-0.046740501565,-0.0386683223032,0.038035246061,0.0768555368623,0.0362470052661,-0.0320235595881,0.0237394541368,-0.0987541961225,0.00378888126919,-0.017581387666,-0.00794871606393,0.0467747738769
[file],[004c7.asc],-0.0233886898626,-0.0157846282648,0.00246401862334,0.0229111243732,0.000699071723044,-0.0100772272654,-0.0202662630112,-0.00385189764803,0.00507066094456,-0.0154291088705,-0.0181331950925,-0.0195984584163,-0.00794871606393,0.0137287698848
[file],[004c8.asc],-0.0116504992518,0.0301896365853,0.00486351731134,-0.0299014736746,0.0379286205266,0.0211162049436,-0.0134747194057,-0.0376821707154,0.0207080017665,0.00878752946164,-0.146487860463,0.0202186201482,-0.00794871606393,0.0496040975835
[file],[004c9.asc],-0.0263831998829,-0.0139899592401,-0.0373804277036,-0.0225530633622,0.0026239752468,0.00811032746334,0.021893058007,0.00910540522535,0.00253765669742,-0.0108456301586,-0.025236472699,-0.00326626236063,-0.00794871606393,0.0176996062184
[MEAN],-,-0.00778369424762,0.00191380379411,-0.00239747271449,-0.00340234901963,-0.00270545673129,0.00576692317334,-0.0105780361319,-0.0106695805142,0.00147443194008,-0.0162383415686,-0.025734612985,-0.0250302077619,-0.00794871606393,-
[95ci],-,0.00705238939443,0.00730633140755,0.01060823183,0.0122339244409,0.00959873924103,0.0118767152858,0.0094072825397,0.00924671582969,0.0102953936891,0.0160485017758,0.0180322393655,0.0123046772998,-,0.0263298369403
